index,address,cost_text,Bed,Bath,Park,property_type,desc_head,LocID,longitude,latitude,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,total_population,SA2_NAME21,duration_mins,Offence Count,SA2_CODE_2021
https://www.domain.com.au/warrandyte-vic-3113-16033139,Warrandyte VIC 3113,875.0,5,3,3,House,mud brick magic,211021262,145.2099924,-37.7473655,930.0,481.0,3051.0,2779.0,8781.0,Warrandyte - Wonga Park,>50.0,859.0,211021262.0
https://www.domain.com.au/6-airlie-court-doncaster-east-vic-3109-16054416,6 Airlie Court Doncaster East VIC 3109,850.0,3,2,1,House,spaciou home east,207021424,145.1509273,-37.7774562,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/6-halcyon-court-doncaster-east-vic-3109-15933892,6 HALCYON COURT Doncaster East VIC 3109,830.0,4,2,2,House,spaciou four bedroom plu studi home view east,207021424,145.1663275,-37.7752538,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/7-davy-court-narre-warren-south-vic-3805-16072355,7 Davy Court Narre Warren South VIC 3805,795.0,4,2,2,House,bedroom famili home prime locat warren south,212031457,145.3180427,-38.0614851,767.0,430.0,2350.0,2352.0,10833.0,Narre Warren South - East,>50.0,859.0,212031457.0
https://www.domain.com.au/level-1-301-13-15-lake-street-caroline-springs-vic-3023-15994278,"Level 1, 301/13-15 Lake Street Caroline Springs VIC 3023",793.2692307692307,4,3,2,Apartment / Unit / Flat,endless possibl,213041463,144.7446886,-37.7316459,813.0,401.0,2277.0,2133.0,16696.0,Caroline Springs,>50.0,859.0,213041463.0
https://www.domain.com.au/64-canopus-dr-doncaster-east-vic-3109-16077354,64 Canopus Dr Doncaster East VIC 3109,780.0,4,3,2,House,spaciou famili live within east secondari colleg zone,207021424,145.1705483,-37.7794613,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/37-milpera-crescent-wantirna-vic-3152-16057608,37 Milpera Crescent Wantirna VIC 3152,760.0,6,5,2,House,doubl storey perfect prize local,211011259,145.2201812,-37.8622115,762.0,427.0,2106.0,1883.0,12341.0,Wantirna,>50.0,859.0,211011259.0
https://www.domain.com.au/3-centaur-grove-doncaster-east-vic-3109-15746707,3 CENTAUR GROVE Doncaster East VIC 3109,750.0,5,2,2,House,east secondari zone,207021424,145.1691682,-37.7814099,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/13-st-claire-walk-doncaster-east-vic-3109-16033127,13 St Claire Walk Doncaster East VIC 3109,750.0,3,2,3,House,bedroom famili home locat within east secondari colleg zone,207021424,145.1616859,-37.7815398,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/4-glencroft-terrace-wheelers-hill-vic-3150-16068137,4 Glencroft Terrace Wheelers Hill VIC 3150,750.0,3,2,2,House,famili entertain peac locat,212051327,145.1885344,-37.9190657,720.0,481.0,2124.0,1818.0,18680.0,Wheelers Hill,>50.0,859.0,212051327.0
https://www.domain.com.au/20-grandview-road-wheelers-hill-vic-3150-16037525,20 Grandview Road Wheelers Hill VIC 3150,750.0,4,2,2,House,perfect famili home,212051327,145.1901521,-37.9136788,720.0,481.0,2124.0,1818.0,18680.0,Wheelers Hill,>50.0,859.0,212051327.0
https://www.domain.com.au/7-goldhurst-street-keysborough-vic-3173-16057792,7 Goldhurst Street Keysborough VIC 3173,750.0,5,2,2,House,bedroom bathroom,212041566,145.1645968,-38.009189,890.0,520.0,2455.0,2493.0,12150.0,Keysborough - South,>50.0,859.0,212041566.0
https://www.domain.com.au/11b-templeton-street-wantirna-vic-3152-15947666,11B Templeton Street Wantirna VIC 3152,740.0,4,2,2,Townhouse,brand new build lifestyl locat,211011259,145.2248203,-37.8641928,762.0,427.0,2106.0,1883.0,12341.0,Wantirna,>50.0,859.0,211011259.0
https://www.domain.com.au/15-marriott-drive-keysborough-vic-3173-16019001,15 Marriott Drive Keysborough VIC 3173,720.0,5,2,2,House,spaciou bedroom famili home,212041566,145.1438563,-38.0051357,890.0,520.0,2455.0,2493.0,12150.0,Keysborough - South,>50.0,859.0,212041566.0
https://www.domain.com.au/3-beaconsfield-lane-caroline-springs-vic-3023-16057911,3 Beaconsfield Lane Caroline Springs VIC 3023,700.0,4,2,2,House,locat must,213041463,144.7481121,-37.73044429999999,813.0,401.0,2277.0,2133.0,16696.0,Caroline Springs,>50.0,859.0,213041463.0
https://www.domain.com.au/6-ramsay-close-doncaster-east-vic-3109-16054758,6 Ramsay Close Doncaster East VIC 3109,700.0,4,3,2,House,sweep vista estat,207021424,145.1686507,-37.7763352,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/34-bellevue-avenue-doncaster-east-vic-3109-16064963,34 Bellevue Avenue Doncaster East VIC 3109,695.0,4,2,2,House,sunni spaciou famili focus,207021424,145.1670118,-37.7835722,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/28-huntingfield-drive-doncaster-east-vic-3109-16062887,28 Huntingfield Drive Doncaster East VIC 3109,685.0,4,3,2,House,spaciou bedroom famili home conveni locat,207021424,145.1672706,-37.7720302,704.0,497.0,2158.0,1934.0,13507.0,Doncaster East - North,>50.0,859.0,207021424.0
https://www.domain.com.au/1-beluga-street-waterways-vic-3195-16079511,1 Beluga Street Waterways VIC 3195,680.0,5,2,2,House,impress say least,208031183,145.1389414,-38.0121853,846.0,510.0,2549.0,2348.0,7476.0,Aspendale Gardens - Waterways,>50.0,859.0,208031183.0
https://www.domain.com.au/142-sandhurst-boulevard-sandhurst-vic-3977-16051776,142 Sandhurst Boulevard Sandhurst VIC 3977,680.0,4,2,0,House,larg home load extra,214011376,145.2114432,-38.0865073,920.0,450.0,2378.0,2224.0,10898.0,Skye - Sandhurst,>50.0,859.0,214011376.0
