,Year,SA2_codes,pred_rent,pred_crime_count,pred_income_prsnl,pred_income_fam,pred_income_hhd,pred_pop
445,2024,203021046,391.3333333333321,968.2882971729115,1099.5333333333256,3126.666666666657,2309.666666666657,9120.199999999997
446,2024,203021047,370.3333333333321,968.2882971729115,760.2666666666628,1975.7333333333372,1500.7333333333372,14845.600000000035
447,2024,203031048,409.3333333333321,968.2882971729115,761.0666666666657,1899.4000000000087,1521.3333333333285,15737.333333333372
448,2024,203031049,436.6666666666679,968.2882971729115,978.5333333333256,2358.4666666666744,1880.2666666666628,6151.866666666698
449,2024,203031051,365.6666666666679,968.2882971729115,658.7999999999956,1571.4000000000087,1233.4666666666744,10133.599999999977
450,2024,203031052,437.1333333333314,968.2882971729115,886.3333333333358,2116.1333333333314,1655.199999999997,5617.733333333279
451,2024,203031053,546.0,968.2882971729115,1077.6666666666715,2860.733333333337,2499.333333333343,22493.733333333395
452,2024,204011054,275.3333333333321,968.2882971729115,689.4666666666599,1664.1333333333314,1210.5333333333401,6815.399999999994
453,2024,204011055,271.6666666666679,968.2882971729115,671.0,1627.1333333333314,1206.5333333333401,7108.266666666692
454,2024,204011056,360.0,968.2882971729115,792.5999999999985,2094.733333333337,1686.800000000003,14839.666666666628
455,2024,204011057,358.0,968.2882971729115,781.7999999999956,1854.5999999999913,1447.4666666666744,10379.466666666674
456,2024,204011058,312.3333333333321,968.2882971729115,779.0,1946.5333333333256,1402.3333333333285,4499.0
457,2024,204011059,275.3333333333321,968.2882971729115,681.8666666666686,1601.4000000000087,1259.1333333333314,6392.533333333326
458,2024,204011060,285.66666666666606,968.2882971729115,987.6666666666642,2327.0,2074.1333333333314,4424.533333333326
459,2024,204011062,336.0,968.2882971729115,692.8666666666686,1730.1333333333314,1326.800000000003,4285.733333333337
460,2024,204021063,268.33333333333394,968.2882971729115,695.7999999999956,1632.199999999997,1226.3333333333285,10668.066666666651
461,2024,204021064,244.33333333333212,968.2882971729115,733.4000000000015,1754.0,1474.1333333333314,3736.8666666666686
462,2024,204021065,265.0666666666657,968.2882971729115,788.4000000000015,1943.4000000000087,1451.0666666666802,3757.9333333333198
463,2024,204021066,284.0,968.2882971729115,768.8666666666686,1883.0666666666802,1346.8666666666686,18675.666666666686
464,2024,204021067,276.0,968.2882971729115,830.6666666666642,1999.9333333333198,1631.7333333333372,9159.466666666674
465,2024,204031068,334.6666666666679,968.2882971729115,841.0666666666657,2089.0,1570.0666666666802,4830.1999999999825
466,2024,204031069,329.3999999999978,968.2882971729115,839.3333333333358,2006.1333333333605,1532.9333333333198,8746.0
467,2024,204031070,272.7333333333336,968.2882971729115,808.5999999999985,2058.5333333333256,1608.4666666666744,3037.199999999997
468,2024,204031071,273.6666666666679,968.2882971729115,743.7333333333372,1830.5999999999913,1333.3333333333285,4507.466666666674
469,2024,204031072,225.0,968.2882971729115,744.0,1832.1333333333314,1401.7333333333372,5996.599999999991
