,Year,SA2_codes,Postcode,Offence Count
0,2013,206011106,3057,156
1,2013,206011107,3052,552
2,2013,206011107,3055,229
3,2013,206011109,3044,514
4,2013,206011495,3056,732
5,2013,206021110,3078,314
6,2013,206021112,3071,386
7,2013,206021500,3070,476
8,2013,206031115,3031,890
9,2013,206031116,3039,423
10,2013,206031501,3041,257
11,2013,206031502,3040,508
12,2013,206041117,3053,351
13,2013,206041118,3008,489
14,2013,206041119,3002,463
15,2013,206041504,3000,1497
16,2013,206041506,3051,538
17,2013,206041509,3006,591
18,2013,206041510,3003,373
19,2013,206051128,3206,308
20,2013,206051129,3184,301
21,2013,206051130,3207,543
22,2013,206051134,3183,491
23,2013,206051511,3205,946
24,2013,206051514,3004,1939
25,2013,206051514,3182,1687
26,2013,206061135,3143,139
27,2013,206061136,3181,1029
28,2013,206061138,3142,316
29,2013,206061515,3141,565
30,2013,206071139,3067,285
31,2013,206071140,3054,191
32,2013,206071141,3066,952
33,2013,206071142,3065,1199
34,2013,206071143,3068,362
35,2013,206071518,3121,2091
36,2013,207011147,3103,151
37,2013,207011148,3104,168
38,2013,207011149,3124,297
39,2013,207011152,3123,219
40,2013,207011154,3102,103
41,2013,207011155,3126,51
42,2013,207011519,3122,561
43,2013,207011522,3101,414
44,2013,207021156,3105,143
45,2013,207021157,3108,398
46,2013,207021159,3106,131
47,2013,207021160,3107,138
48,2013,207021425,3109,328
49,2013,207031161,3130,431
50,2013,207031163,3128,794
51,2013,207031164,3129,150
52,2013,207031165,3125,287
53,2013,207031166,3151,137
54,2013,207031167,3127,178
55,2013,208011168,3193,256
56,2013,208011169,3186,427
57,2013,208011170,3187,196
58,2013,208011171,3190,370
59,2013,208011172,3188,474
60,2013,208011173,3191,241
61,2013,208021176,3163,447
62,2013,208021177,3161,218
63,2013,208021178,3162,278
64,2013,208021179,3185,390
65,2013,208021182,3204,555
66,2013,208021426,3165,392
67,2013,208031185,3197,317
68,2013,208031186,3196,745
69,2013,208031188,3192,416
70,2013,208031190,3194,332
71,2013,208031191,3189,389
72,2013,208031191,3202,116
73,2013,208031193,3195,1015
74,2013,208041194,3144,230
75,2013,208041194,3146,284
76,2013,208041195,3145,462
77,2013,209011197,3088,669
78,2013,209011199,3081,872
79,2013,209011200,3079,266
