SA2_MAINCODE_2016,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,total_population
211051279,635,320,1699,1505,4886
211051280,691,335,1957,1711,6029
211051281,687,350,1791,1594,18868
211051282,728,340,1982,1680,8536
211051283,678,310,1862,1655,8305
211051284,753,336,2038,1762,8261
211051285,686,320,1771,1611,6531
211051286,566,270,1399,1142,14336
212011287,792,351,2018,1875,10718
212011288,632,253,1762,1502,7632
212011289,700,321,1915,1716,15554
212011290,621,250,1545,1335,6643
212011291,684,315,1525,1371,15057
212011292,647,321,1562,1390,22938
212021293,678,341,1911,1558,20177
212021294,737,380,1971,1901,19839
212021295,449,280,1064,973,10057
212021297,488,323,1358,1297,9231
212021299,683,354,2178,2182,6844
212021453,583,330,1577,1485,10470
212021454,561,345,1551,1468,11724
212021455,630,340,1709,1619,11315
212021456,588,320,1468,1345,11986
212031300,593,300,1391,1251,17368
212031301,744,380,1763,1710,19869
212031302,668,345,1662,1591,16070
212031303,742,350,1990,1865,7741
212031304,707,336,1600,1564,11914
212031305,540,320,1358,1307,21492
212031306,732,381,1894,1948,11995
212031308,651,300,1731,1536,6748
212031457,668,400,1997,2006,10488
212031458,613,360,1652,1654,13304
212041309,533,351,1595,1417,10661
212041310,489,342,1342,1257,11398
212041311,460,281,1112,994,27871
212041312,486,300,1315,1183,19838
212041313,694,380,1939,1596,9042
212041314,581,360,1618,1587,22016
212041316,496,321,1352,1213,6610
212041317,409,310,1120,1077,19819
212041318,449,319,1208,1220,11049
212041459,534,299,1245,1117,11336
212041460,460,300,1189,1102,16560
212051319,648,375,1942,1554,16452
212051320,349,360,1373,1070,21752
212051321,569,441,1799,1564,18316
212051322,552,420,1756,1541,17099
212051323,631,421,1902,1628,13448
212051324,660,420,1968,1655,16122
212051325,609,381,1732,1572,17157
212051326,632,371,1845,1520,19270
212051327,624,420,1886,1670,17578
213011328,515,275,1296,1071,7306
213011329,549,369,1635,1748,7922
213011330,576,320,1454,1403,21720
213011331,482,300,1404,1290,7378
213011332,520,320,1490,1379,11681
213011333,426,290,1116,1074,12253
213011334,427,288,1087,990,18471
213011335,404,280,1092,1037,15844
213011336,494,300,1305,1185,8908
213011337,441,300,1166,1094,10497
213011338,445,300,1214,1147,16711
213011339,601,330,1649,1527,10548
213011340,644,363,1960,1847,15544
213021341,734,335,1953,1440,11490
213021342,592,310,1586,1370,17060
213021343,539,340,1511,1274,12661
213021344,961,400,2484,2071,14915
213021345,684,325,1777,1676,4301
213021346,885,370,2606,2007,13542
213031347,495,300,1382,1232,16598
213031348,623,310,1660,1314,16281
213031349,779,380,2024,1765,11257
213031350,904,345,2386,1861,8076
213031351,694,301,1843,1449,10308
213031352,923,400,2513,2043,12875
213041353,652,270,1708,1427,17393
213041355,732,346,1945,1874,16401
213041356,547,260,1361,1180,16328
213041357,615,286,1501,1338,19384
213041358,645,290,1543,1426,14308
213041359,512,210,1320,1119,4183
213041360,708,369,1918,1890,14427
213041461,542,350,1520,1412,3937
213041462,698,369,1789,1841,4522
213041463,739,365,1923,1819,15819
213051361,620,300,1621,1493,16596
213051362,537,295,1420,1324,16802
213051363,640,312,1674,1587,7723
213051365,715,330,1703,1718,26370
213051366,753,340,1713,1744,18981
213051368,630,281,1616,1313,10333
213051369,693,301,1604,1511,18105
213051464,839,381,2156,2131,9605
213051465,778,361,2035,1968,17695
213051466,876,380,2125,2104,10655
213051467,528,277,1353,1198,17433
213051468,672,280,1723,1496,10347
214011370,671,325,1533,1339,18132
214011371,607,286,1448,1099,20945
214011372,531,290,1267,1043,17582
214011373,706,355,2052,1617,16066
214011374,719,320,1868,1595,20550
214011375,664,300,1611,1208,15122
214011376,780,400,2031,1914,10639
214021377,596,330,1426,1157,10358
214021378,773,300,1937,1715,5029
214021379,628,280,1453,1175,19680
214021380,625,335,1584,1203,21955
214021381,760,428,2353,2030,14994
214021382,727,400,2036,1707,15638
214021383,593,300,1384,1096,16085
214021384,511,285,1242,930,19904
214021385,667,323,1722,1479,16092
215011386,561,200,1284,998,8326
215011387,564,100,1244,1006,2926
215011388,621,200,1412,1102,14297
215011389,600,120,1392,1146,2977
215011390,508,130,1242,928,6342
215011391,479,140,1157,845,3146
215011392,538,175,1301,973,7591
215011393,549,80,1274,966,2515
215011394,491,133,1176,881,6238
215021395,621,200,1553,1290,5926
215021396,529,180,1318,1056,4294
215021398,570,100,1336,1019,3448
215021399,542,190,1337,1083,5394
215021469,530,220,1243,975,16520
215021470,566,250,1370,1087,13160
215031400,473,120,1110,839,5864
215031401,496,140,1184,923,6116
215031402,502,170,1195,886,3659
215031403,547,177,1263,1085,3161
215031404,604,200,1407,1098,10020
215031405,546,150,1325,1091,6047
216011406,606,250,1433,1144,13273
216011407,551,185,1322,1066,9845
216011408,576,145,1382,1193,3393
216011409,527,170,1299,1002,3556
216011410,478,155,1165,913,3795
216021411,503,200,1265,959,5889
216021412,547,150,1334,1130,2421
216021413,537,175,1311,1048,11042
216021414,515,240,1233,962,7456
216031415,553,200,1296,996,7273
216031416,630,230,1512,1221,16499
216031417,561,235,1356,1145,20356
216031418,639,180,1657,1408,3369
216031419,576,200,1414,1163,9467
217011420,538,140,1375,1028,8248
217011421,574,200,1382,1035,9078
217011422,534,200,1345,1050,9983
217011423,584,100,1366,1068,5411
217031471,519,200,1217,921,3234
217031472,577,215,1399,1055,11017
217031473,583,175,1376,1150,4666
217031474,516,150,1279,994,5012
217031475,580,150,1373,1147,6347
217031476,554,245,1205,936,3334
217041477,613,150,1482,1210,5759
217041478,617,223,1470,1217,8373
217041479,625,250,1510,1210,18457
217041480,610,250,1498,1144,12104
