,index,name,cost_text,Bed,Bath,Park,property_type,desc_head,LocID
33,https://www.domain.com.au/46-48-wells-road-beaumaris-vic-3193-16001198,46-48 Wells Road Beaumaris VIC 3193,2500.0,4,3,2,House,exquisit live beauti,208011168
34,https://www.domain.com.au/133-north-road-brighton-vic-3186-16017654,133 North Road Brighton VIC 3186,2500.0,2,2,1,House,brilliant beauti,208011169
35,https://www.domain.com.au/21-iona-avenue-toorak-vic-3142-16065186,21 Iona Avenue Toorak VIC 3142,2500.0,4,2,0,House,period famili home stellar locat,206061138
36,https://www.domain.com.au/27-grandview-road-brighton-vic-3186-15993971,27 Grandview Road Brighton VIC 3186,2400.0,4,3,2,House,grand scale entertain famili flair,208011169
37,https://www.domain.com.au/1-2-shandford-avenue-brighton-vic-3186-15995849,1/2 SHANDFORD Avenue Brighton VIC 3186,2400.0,5,4,3,Townhouse,foreshor beauti,208011169
38,https://www.domain.com.au/241-299-queen-street-melbourne-vic-3000-15998618,241/299 Queen Street Melbourne VIC 3000,2400.0,3,2,0,Apartment / Unit / Flat,boast locat lifestyl size two level,206041505
39,https://www.domain.com.au/15-webster-street-malvern-east-vic-3145-13350636,15 Webster Street Malvern East VIC 3145,2307.692307692308,4,2,4,House,potenti room hous short term accommod,208041195
40,https://www.domain.com.au/7-myambert-avenue-balwyn-vic-3103-15826562,7 Myambert Avenue Balwyn VIC 3103,2300.0,4,3,3,House,clearli one best,207011147
41,https://www.domain.com.au/12-clendon-court-toorak-vic-3142-14238687,12 Clendon Court Toorak VIC 3142,2300.0,4,2,0,House,superb locat heart,206061138
42,https://www.domain.com.au/99-grange-road-toorak-vic-3142-16076958,99 Grange Road Toorak VIC 3142,2200.0,3,2,1,House,delux hous perfect entertain area,206061138
43,https://www.domain.com.au/4a-fetherston-street-armadale-vic-3143-15975645,4a Fetherston Street Armadale VIC 3143,2200.0,4,2,1,House,exclus inner urban lifestyl,206061135
44,https://www.domain.com.au/478-new-street-brighton-vic-3186-15992205,478 New Street Brighton VIC 3186,2200.0,4,3,2,House,masterpiec,208011169
