region_id,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Median_Tot_hhd_inc_weekly,total_population
212051325,543,321,1474,1347,15675
212051326,537,330,1550,1313,18004
212051327,583,364,1767,1566,17123
213011328,417,220,989,871,6696
213011329,555,325,1494,1532,7168
213011330,539,290,1323,1239,19055
213011331,439,270,1243,1177,7246
213011332,470,280,1369,1272,12053
213011333,367,250,985,948,11827
213011334,357,250,931,844,17510
213011335,346,250,939,889,14796
213011336,412,254,1089,986,8217
213011337,353,254,979,882,9624
213011338,366,260,988,946,15134
213011339,610,300,1520,1422,9899
213011340,570,330,1753,1663,15473
213021341,573,280,1565,1162,10679
213021342,528,275,1360,1228,16744
213021343,409,270,1065,926,12163
213021344,761,321,2078,1626,14027
213021345,618,290,1567,1447,4101
213021346,752,305,2362,1699,12426
213031347,379,243,1071,957,14804
213031348,487,260,1237,1057,13164
213031349,701,348,1865,1638,9249
213031350,770,285,1963,1470,7393
213031351,547,250,1363,1131,9238
213031352,767,323,2033,1584,11980
213041353,560,220,1470,1220,14368
213041354,683,325,1660,1584,20250
213041355,641,300,1663,1607,12067
213041356,523,240,1235,1078,15030
213041357,529,240,1259,1095,13598
213041358,611,265,1419,1296,11535
213041359,481,175,1186,1001,3530
213041360,688,325,1698,1658,11570
213051361,579,261,1512,1392,15806
213051362,517,254,1324,1209,16286
213051363,462,260,1119,1060,4809
213051364,849,350,2057,1986,24354
213051365,702,300,1626,1560,17334
213051366,724,300,1562,1518,9609
213051367,523,245,1289,1130,25668
213051368,522,231,1372,1118,9457
213051369,659,279,1453,1356,13637
214011370,591,290,1339,1183,16418
214011371,530,250,1234,962,19603
214011372,456,250,1048,890,17019
214011373,595,301,1707,1372,15424
214011374,627,280,1599,1391,18694
214011375,559,250,1335,1007,14582
214011376,731,360,1771,1680,8422
214021377,485,270,1115,907,8288
214021378,653,200,1684,1442,4808
214021379,539,230,1253,1010,17670
214021380,555,280,1358,1025,19802
214021381,661,350,1986,1696,14665
214021382,617,346,1676,1415,14489
214021383,491,251,1109,877,14847
214021384,422,240,970,748,18381
214021385,573,270,1468,1278,14847
215011386,488,160,1081,850,7408
