Year,SA2_codes,Postcode,Offence Count
2013,211011446,3155,797
2013,211011447,3156,911
2013,211011449,3154,89
2013,211021261,3111,56
2013,211021261,3114,52
2013,211031266,3134,1185
2013,211031267,3135,383
2013,211031450,3136,1013
2013,211041269,3131,379
2013,211041270,3132,214
2013,211041272,3133,227
2013,211051277,3137,305
2013,211051278,3140,830
2013,211051280,3765,112
2013,211051281,3138,397
2013,211051283,3796,137
2013,211051284,3158,142
2013,212021293,3806,1053
2013,212021295,3177,766
2013,212021297,3803,468
2013,212021299,3804,139
2013,212021454,3802,579
2013,212021456,3805,1542
2013,212031300,3977,2095
2013,212031306,3975,219
2013,212031562,3976,682
2013,212041309,3167,213
2013,212041310,3169,427
2013,212041317,3171,635
2013,212041318,3172,520
2013,212041460,3174,1509
2013,212041563,3175,3505
2013,212041565,3173,539
2013,212051319,3147,241
2013,212051319,3148,209
2013,212051322,3150,501
2013,212051324,3149,254
2013,212051325,3170,217
2013,212051326,3166,498
2013,212051567,3168,528
2013,213011328,3020,2253
2013,213011328,3022,171
2013,213011331,3037,1128
2013,213011332,3038,708
2013,213011334,3021,2092
2013,213011569,3023,1682
2013,213011570,3026,268
2013,213021341,3018,472
2013,213021343,3025,437
2013,213021344,3015,454
2013,213021346,3016,791
2013,213031347,3019,376
2013,213031348,3011,1077
2013,213031349,3032,943
2013,213031351,3012,900
2013,213031352,3013,294
2013,213051361,3029,1599
2013,213051363,3027,44
2013,213051363,3028,851
2013,213051368,3030,2664
2013,214011370,3201,808
2013,214011371,3199,3314
2013,214011372,3200,481
2013,214011374,3910,439
2013,214011375,3198,884
2014,206011106,3057,181
2014,206011107,3052,495
2014,206011107,3055,273
2014,206011109,3044,468
2014,206011495,3056,745
2014,206021110,3078,332
2014,206021112,3071,460
2014,206021500,3070,629
2014,206031115,3031,748
2014,206031116,3039,406
2014,206031501,3041,292
2014,206031502,3040,618
2014,206041117,3053,652
2014,206041118,3008,556
2014,206041119,3002,445
2014,206041504,3000,1392
2014,206041506,3051,1106
2014,206041509,3006,754
2014,206041510,3003,307
2014,206051128,3206,252
2014,206051129,3184,384
2014,206051130,3207,439
